source,title,company,location,salary,tags,url,posted_at,crawled_at
web3_career,Web3 Bootcamp - Job Guaranteed 💯,Unknown,Remote,,Junior-Confirmed,https://web3.career/metana,,2026-04-15 20:55:41.829368+00:00
remote3,Web3 Solidity Bootcamp - Job Guaranteed 💯,Unknown,Remote,,"AI-Friendly, Junior-Confirmed",https://link.metana.io/remote3,,2026-04-15 20:55:42.890739+00:00
remote3,"Crypto Trader (Remote, Full Training Provided)",Unknown,Remote,,"Mentorship, AI-Friendly, Junior-Confirmed",https://remote3.co/remote-jobs/crypto-trader-remote-full-training-provided-fox-global-assets-ltd,,2026-04-15 20:55:42.890739+00:00
remote3,Web3 Advisor Position,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/web3-advisor-position-blockpact-capital,,2026-04-15 20:55:42.890739+00:00
remote3,Blockchain Engineer,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/blockchain-engineer-blockpact-capital,,2026-04-15 20:55:42.890739+00:00
remote3,Web3 Product Manager,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/web3-product-manager-bitrefill,,2026-04-15 20:55:42.890739+00:00
crypto_jobs,Software Engineer (Portugal),Unknown,Remote,,C++Communications SkillsDatabase ManagementDevelopment+ 3 More,https://www.cryptojobs.com/job/software-engineer-portugal-12161,Posted:Today,2026-04-15 20:55:47.076774+00:00
crypto_jobs,FP&A Manager,Unknown,Remote,,Attention to DetailCommunications SkillsCryptocurrencyFinancial Modeling+ 1 More,https://www.cryptojobs.com/job/fp-a-manager-12159,Posted:Today,2026-04-15 20:55:47.076774+00:00
crypto_jobs,Customer Support Agent ll,Unknown,Remote,,Communications SkillsCryptocurrencyTeam Collaboration,https://www.cryptojobs.com/job/customer-support-agent-ll-12155,Posted:Today,2026-04-15 20:55:47.076774+00:00
crypto_jobs,Entry-Level Crypto Market Specialist,Unknown,Remote,,"Junior-Confirmed, Analytical Thinking",https://www.cryptojobs.com/job/entry-level-crypto-market-specialist-11812,Posted:1 month ago,2026-04-15 20:55:47.076774+00:00
crypto_jobs,Cryptocurrency Trader,Unknown,Remote,,Cryptocurrency,https://www.cryptojobs.com/job/cryptocurrency-trader-11850,Posted:1 month ago,2026-04-15 20:55:47.076774+00:00
crypto_jobs,"Crypto Trader (Remote, Full Training Provided)",Unknown,Remote,,"Mentorship, Junior-Confirmed, AI-Friendly, Analytical Thinking",https://www.cryptojobs.com/job/crypto-trader-remote-full-training-provided-12003,Posted:1 week ago,2026-04-15 20:55:47.076774+00:00
cryptocurrencyjobs,Product Designer,Oku,Remote - North America,,"AI-Friendly, Gitlab, Figma, Linear, Today",https://cryptocurrencyjobs.co/design/oku-product-designer/,,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,CEO – BloomFi (Web3 / DeFi / L2 Ecosystem),Unknown,Remote,,"AI-Friendly, L2",https://cryptocurrencyjobs.co/other/bloomfi-ceo-bloomfi-web3-defi-l2-ecosystem/,21d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,Smart Contract Auditor,Nethermind,Remote,,"Cairo, Auditor, AI-Friendly, Starknet",https://cryptocurrencyjobs.co/engineering/nethermind-smart-contract-auditor/,27d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,Content Strategy Expert for Token Marketing - Remote,Movimentum,Content Strategy Expert for Token Marketing - Remote,,AI-Friendly,https://cryptocurrencyjobs.co/marketing/movimentum-content-strategy-expert-for-token-marketing-remote/,29d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,Growth & Business Development Associate - Staking & Onchain,Finoa,Unknown,,"AI-Friendly, €32K – €44K, Staking",https://cryptocurrencyjobs.co/sales/finoa-growth-business-development-associate-staking-onchain/,14d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,"Technical Operations Engineer, Web3 Core Platform",QuickNode,"Remote - Ireland, Portugal, Spain",,AI-Friendly,https://cryptocurrencyjobs.co/engineering/quicknode-technical-operations-engineer-web3-core-platform/,14d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,Web3 Security Triager (AuditAgent & AgentArena),Nethermind,Remote,,AI-Friendly,https://cryptocurrencyjobs.co/engineering/nethermind-web3-security-triager-auditagent-agentarena/,24d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,DeFi Specialist,Monad Foundation,Remote,,"AI-Friendly, Layer 1",https://cryptocurrencyjobs.co/other/monad-foundation-defi-specialist/,27d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,"Technical Project Manager, Trading Operations",Nascent,"Remote - Canada, US",,"$130K – $160K, AI-Friendly, LLM",https://cryptocurrencyjobs.co/operations/nascent-technical-project-manager-trading-operations/,1d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,Low-level C++ Engineer (Blockchain),Logos,Remote,,"Nim, AI-Friendly, C++",https://cryptocurrencyjobs.co/engineering/logos-systems-engineer-blockchain/,Nim,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,ZK Research Engineer (Blockchain - Zones team),Logos,Remote,,"AI-Friendly, ZK",https://cryptocurrencyjobs.co/engineering/logos-zk-research-engineer-blockchain-zones-team/,5d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,Account Executive (Institutional Crypto),The Tie,Remote - US,,"Crypto, Institutional Sales, Account Executive, AI-Friendly",https://cryptocurrencyjobs.co/sales/the-tie-account-executive-institutional-crypto/,7d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,BitMart Global Campus Ignite Internship,Unknown,Remote,,"AI-Friendly, CEX, Intern, BD, Exchange",https://cryptocurrencyjobs.co/marketing/bitmart-bitmart-global-campus-ignite-internship/,9d,2026-04-15 20:55:49.036951+00:00
cryptocurrencyjobs,Player Support Representative,Shuffle.com,Remote - Europe,,"Casino, AI-Friendly, Betting, Crypto, Wagering, Customer Service",https://cryptocurrencyjobs.co/customer-support/shuffle-com-player-support-representative/,9d,2026-04-15 20:55:49.036951+00:00
