source,title,company,location,salary,tags,url,posted_at,crawled_at
web3_career,Web3 Developer — Onchain Products,Pelican Strategic Investments,Remote,$12k,"AI-Friendly, Mentorship",https://web3.career/web3-developer-onchain-products-pelican-strategic-investments/150580,2026-06-19 07:06:53+07:00,2026-06-19 21:12:24.159162+00:00
web3_career,Web3 Bootcamp - Job Guaranteed 💯,Unknown,Remote,,Junior-Confirmed,https://web3.career/metana,,2026-06-19 21:12:24.159162+00:00
remote3,Web3 Solidity Bootcamp - Job Guaranteed 💯,Unknown,Remote,,"Junior-Confirmed, AI-Friendly",https://link.metana.io/remote3,,2026-06-19 21:12:26.326462+00:00
remote3,Web3 Developer — Onchain Products (Project basis → part-time maintenance),Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/web3-developer-onchain-products-project-basis-part-time-maintenance-pelican-investments,,2026-06-19 21:12:26.326462+00:00
remote3,Smart Contract Auditor,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/smart-contract-auditor-binance-7,,2026-06-19 21:12:26.326462+00:00
remote3,"Blockchain, Data Analytics (Remote)",Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/blockchain-data-analytics-remote-serotonin-2,,2026-06-19 21:12:26.326462+00:00
remote3,Blockchain Engineer - Binance Wallet,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/blockchain-engineer-binance-wallet-binance,,2026-06-19 21:12:26.326462+00:00
remote3,Product Manager (AI &amp; Blockchain) LATAM,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/product-manager-ai-amp-blockchain-latam-airtm-1,,2026-06-19 21:12:26.326462+00:00
remote3,Crypto.com - Application Support Engineer — Blockchain Security & AI Automation,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/crypto-com-application-support-engineer-blockchain-security-ai-automation-crypto-com-2,,2026-06-19 21:12:26.326462+00:00
remote3,Harmony - Blockchain Engineer,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/harmony-blockchain-engineer-harmony-3,,2026-06-19 21:12:26.326462+00:00
remote3,Binance - Pioneer Talent Program - Software Engineer - Blockchain Security,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/binance-pioneer-talent-program-software-engineer-blockchain-security-binance-9,,2026-06-19 21:12:26.326462+00:00
remote3,Protocol Engineer,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/protocol-engineer-fun-xyz-5,,2026-06-19 21:12:26.326462+00:00
crypto_jobs,Web3 DApp Developer (Remote),Unknown,Remote,,Database ManagementDevelopmentTypeScriptUX/UI Design,https://www.cryptojobs.com/job/web3-dapp-developer-remote-12463,Posted:Yesterday,2026-06-19 21:12:31.750512+00:00
