source,title,company,location,salary,tags,url,posted_at,crawled_at
web3_career,Platm Support Specialist,Ondo Finance,Platm Support SpecialistOndo Finance📍Remote,$98k - $150k,"customer supportawsblockchain+3, AI-Friendly, Mentorship",https://web3.career/platform-support-specialist-ondofinance/152104,2026-07-31 09:07:02+07:00,2026-08-03 11:27:14.798603+00:00
web3_career,Get hired in web3 - JOB GUARANTEED,"Learn Job-ready Solidity & Rust skills, in your schedule with 1-on-1 mentor support, or get your money back.",Remote,,by Metana,https://web3.career/metana,,2026-08-03 11:27:14.798603+00:00
web3_career,Vendor Onboarding Associate,Ondo Finance,Vendor Onboarding AssociateOndo Finance📍Remote,$98k - $150k,"AI-Friendly, awsblockchaincrypto+2",https://web3.career/vendor-onboarding-associate-ondofinance/152096,2026-07-31 09:07:12+07:00,2026-08-03 11:27:14.798603+00:00
web3_career,Solutions Engineer United States,Ondo Finance,Remote,$126k - $150k,"AI-Friendly, engineerawsblockchain+4",https://web3.career/solutions-engineer-united-states-ondofinance/152094,2026-07-31 09:07:00+07:00,2026-08-03 11:27:14.798603+00:00
web3_career,GEO Strategist,Binance,GEO StrategistBinance📍Remote,,"AI-Friendly, remoteblockchaincrypto",https://web3.career/geo-strategist-binance/152093,2026-07-31 09:07:39+07:00,2026-08-03 11:27:14.798603+00:00
remote3,Trust Wallet Jobs,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/trust-wallet-jobs-trust-wallet-9,,2026-08-03 11:27:17.795346+00:00
remote3,Defi Researcher,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/defi-researcher-anagram-6,,2026-08-03 11:27:17.795346+00:00
remote3,Web3 Solidity Bootcamp - Job Guaranteed 💯,Unknown,Remote,,"AI-Friendly, Junior-Confirmed",https://link.metana.io/remote3,,2026-08-03 11:27:17.795346+00:00
remote3,Defi Researcher,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/defi-researcher-anagram-7,,2026-08-03 11:27:17.795346+00:00
crypto_jobs,Web3 DApp Developer (Remote),Unknown,Remote,,Database ManagementDevelopmentTypeScriptUX/UI Design,https://www.cryptojobs.com/job/web3-dapp-developer-remote-12463,Posted:1 month ago,2026-08-03 11:27:20.424650+00:00
crypto_jobs,Smart Contract Engineer,Unknown,Remote,,Smart Contract DevelopmentSolidity,https://www.cryptojobs.com/job/smart-contract-engineer-12450,Posted:1 month ago,2026-08-03 11:27:20.424650+00:00
crypto_jobs,"Blockchain Developer, Smart Contract Engineer (US,",Unknown,Remote,,ReactRustSupply ChainTypeScript,https://www.cryptojobs.com/job/blockchain-developer-smart-contract-engineer-us-12449,Posted:1 month ago,2026-08-03 11:27:20.424650+00:00
crypto_jobs,"Blockchain Developer (Solidity, Web3, MERN)",Unknown,Remote,,CryptocurrencyReact,https://www.cryptojobs.com/job/blockchain-developer-solidity-web3-mern-12448,Posted:2 months ago,2026-08-03 11:27:20.424650+00:00
crypto_jobs,Crypto Trading Platform Engineer,Unknown,Remote,,API IntegrationCryptocurrencyDatabase ManagementReact+ 2 More,https://www.cryptojobs.com/job/crypto-trading-platform-engineer-12447,Posted:2 months ago,2026-08-03 11:27:20.424650+00:00
crypto_jobs,Blockchain Engineer,Unknown,Remote,,"CryptocurrencyReactSoftware EngineeringSolidity+ 1 More, AI-Friendly",https://www.cryptojobs.com/job/blockchain-engineer-12437,Posted:2 months ago,2026-08-03 11:27:20.424650+00:00
cryptocurrencyjobs,Customer Success Manager,Mercuryo,Remote,,"Payments, FinTech, API, APAC, Mandarin, Enterprise, Today, Junior-Confirmed, HubSpot, Crypto, Account Management",https://cryptocurrencyjobs.co/sales/mercuryo-customer-success-manager/,,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,Product Designer,Oku,Remote - North America,,"Linear, Figma, 10w, Junior-Confirmed, Gitlab",https://cryptocurrencyjobs.co/design/oku-product-designer/,,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,Decentralised Messaging Engineer - Rust,Logos,Remote,,"Junior-Confirmed, 12w",https://cryptocurrencyjobs.co/engineering/logos-decentralised-messaging-engineer-rust/,,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,"Associate General Counsel, Crypto Services",Fireblocks,Unknown,,"Junior-Confirmed, $202K – $265K",https://cryptocurrencyjobs.co/operations/fireblocks-associate-general-counsel-crypto-services/,27d,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,Staff Product Designer (Trading),Phantom,Remote - US,,"Junior-Confirmed, $238K – $280K",https://cryptocurrencyjobs.co/design/phantom-staff-product-designer-trading/,28d,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,DeFi Researcher,Anagram,Remote,,"Digital Assets, 9w, Blockchain, Junior-Confirmed, Crypto, Tokenization",https://cryptocurrencyjobs.co/other/anagram-defi-researcher/,,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,"Staff Software Engineer, Web3",Robinhood,Unknown,,"AI-Friendly, Junior-Confirmed, 10w",https://cryptocurrencyjobs.co/engineering/robinhood-staff-software-engineer-web3/,,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,Operations Specialist (Binance Pay & Card),Binance,Remote - Asia,,"12w, Junior-Confirmed, Onchain",https://cryptocurrencyjobs.co/operations/binance-operations-specialist-binance-pay-card/,,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,"Accounting Manager, Crypto Assets",Coinbase,Remote - US,,"13w, Junior-Confirmed, Accounting, $166.345K – $195.7K",https://cryptocurrencyjobs.co/operations/coinbase-accounting-manager-crypto-assets/,,2026-08-03 11:27:22.349724+00:00
cryptocurrencyjobs,Brand Visual Designer,Distributed Crafts,Remote - Europe,,"adobe creative suite, figma, video editing, Junior-Confirmed, motion graphics",https://cryptocurrencyjobs.co/design/distributed-crafts-brand-visual-designer/,3d,2026-08-03 11:27:22.349724+00:00
