source,title,company,location,salary,tags,url,posted_at,crawled_at
web3_career,Web3 Bootcamp - Job Guaranteed 💯,Unknown,Remote,,Junior-Confirmed,https://web3.career/metana,,2026-06-03 12:43:55.674772+00:00
web3_career,Staff Permance Engineer Trading Infrastructure,Helius,Remote,,"Mentorship, AI-Friendly",https://web3.career/staff-performance-engineer-trading-infrastructure-helius/149853,2026-05-29 09:05:09+07:00,2026-06-03 12:43:55.674772+00:00
remote3,Web3 Solidity Bootcamp - Job Guaranteed 💯,Unknown,Remote,,"Junior-Confirmed, AI-Friendly",https://link.metana.io/remote3,,2026-06-03 12:43:56.530048+00:00
remote3,BTSE - [Web3] 技術支援 Technology Operations Engineer (早班10am-7pm/晚班3pm-12am可WFH),Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/btse-web3-technology-operations-engineer-10am-7pm-3pm-12am-wfh-btse-1,,2026-06-03 12:43:56.530048+00:00
remote3,BTSE - [Web3] Junior Operations Support Associate (Mandarin-speaking),Unknown,Remote,,"Junior-Confirmed, AI-Friendly",https://remote3.co/remote-jobs/btse-web3-junior-operations-support-associate-mandarin-speaking-btse-3,,2026-06-03 12:43:56.530048+00:00
remote3,Web3 Infrastructure Engineer (BNB Chain Middleware),Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/web3-infrastructure-engineer-bnb-chain-middleware-powered-by-pioneer,,2026-06-03 12:43:56.530048+00:00
remote3,Binance - Product Manager - Web3/ DeFi,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/binance-product-manager-web3-defi-binance-1,,2026-06-03 12:43:56.530048+00:00
remote3,Binance - Java Backend Engineer - Web3 Data,Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/binance-java-backend-engineer-web3-data-binance,,2026-06-03 12:43:56.530048+00:00
remote3,[Web3] 財務營運專員 Treasury Associate (night shift),Unknown,Remote,,AI-Friendly,https://remote3.co/remote-jobs/web3-treasury-associate-night-shift-btse-1,,2026-06-03 12:43:56.530048+00:00
crypto_jobs,Blockchain Developer (Solidity + Web3 + MERN Stack,Unknown,Remote,,CryptocurrencyReact,https://www.cryptojobs.com/job/blockchain-developer-solidity-web3-mern-stack-12448,Posted:Yesterday,2026-06-03 12:43:59.787383+00:00
crypto_jobs,Crypto Trading Platform Engineer,Unknown,Remote,,API IntegrationCryptocurrencyDatabase ManagementReact+ 2 More,https://www.cryptojobs.com/job/crypto-trading-platform-engineer-12447,Posted:2 days ago,2026-06-03 12:43:59.787383+00:00
crypto_jobs,Web3 Developer,Unknown,Remote,,App DevelopmentSmart Contract DevelopmentSolidity,https://www.cryptojobs.com/job/web3-developer-12444,Posted:1 week ago,2026-06-03 12:43:59.787383+00:00
crypto_jobs,Blockchain Engineer,Unknown,Remote,,"CryptocurrencyReactSoftware EngineeringSolidity+ 1 More, AI-Friendly",https://www.cryptojobs.com/job/blockchain-engineer-12437,Posted:2 weeks ago,2026-06-03 12:43:59.787383+00:00
crypto_jobs,Purchasing Assistant,Unknown,Remote,,Attention to DetailCryptocurrencyFinancial AnalysisSupply Chain,https://www.cryptojobs.com/job/purchasing-assistant-12373,Posted:3 weeks ago,2026-06-03 12:43:59.787383+00:00
crypto_jobs,Smart Contract Developer,Unknown,Remote,,Smart Contract DevelopmentSolidityTypeScript,https://www.cryptojobs.com/job/smart-contract-developer-12131,Posted:1 month ago,2026-06-03 12:43:59.787383+00:00
cryptocurrencyjobs,Product Designer,Oku,Remote - North America,,"Figma, Linear, AI-Friendly, Gitlab",https://cryptocurrencyjobs.co/design/oku-product-designer/,17d,2026-06-03 12:44:01.498959+00:00
cryptocurrencyjobs,Decentralised Messaging Engineer - Rust,Logos,Remote,,AI-Friendly,https://cryptocurrencyjobs.co/engineering/logos-decentralised-messaging-engineer-rust/,27d,2026-06-03 12:44:01.498959+00:00
cryptocurrencyjobs,DeFi Researcher,Anagram,Remote,,"Tokenization, Blockchain, Crypto, Digital Assets, AI-Friendly",https://cryptocurrencyjobs.co/other/anagram-defi-researcher/,4d,2026-06-03 12:44:01.498959+00:00
